,2000,2005,2010,2012,2015
2000,-1.0,0.7253329298651233,0.11084655002088635,0.042501150884775456,0.008761912855308585
2005,0.7253329298651233,-1.0,0.7887054746474095,0.5711248668442455,0.280470902660628
2010,0.11084655002088635,0.7887054746474095,-1.0,0.996935242544744,0.9261071757982834
2012,0.042501150884775456,0.5711248668442455,0.996935242544744,-1.0,0.9902172448724904
2015,0.008761912855308585,0.280470902660628,0.9261071757982834,0.9902172448724904,-1.0
