COUNTRY,IN REPORTED CURRENCY,CURRENCY REPORTED,INTERNATIONAL DOLLARS (AT PURCHASING POWER PARITY),IN US$ AT OFFICIAL EXCHANGE RATES
Micronesia (Federated States of),   3.50,USD,   3.76,   3.50
Monaco,. . .,. .,. . .,. . .
Mongolia,  2 000.00,MNT,   2.77,   0.81
Montenegro,   2.30,EUR,   5.97,   2.70
Morocco,   16.00,MAD,   4.53,   1.70
Mozambique,   45.00,MZN,   2.01,   0.77
Myanmar,   350.00,MMK,   1.29,   0.24
Namibia,   14.00,NAD,   2.09,   1.06
Nauru,   13.00,AUD,   13.77,   9.66
Nepal,. . .,. .,. . .,. . .
Netherlands,   6.00,EUR,   7.60,   7.04
New Zealand,   21.50,NZD,   14.47,   14.67
Nicaragua,   45.00,NIO,   3.81,   1.42
Niger,   250.00,XOF,   1.13,   0.45
Nigeria,. . .,. .,. . .,. . .
Niue,   24.00,NZD,. . .,   16.38
North Macedonia,   73.68,MKD,   3.70,   1.40
Norway,   93.50,NOK,   10.44,   11.51
Oman,   0.45,OMR,   2.85,   1.17
Pakistan,   48.00,PKR,   1.60,   0.39
Palau,   6.25,USD,   5.67,   6.25
Panama,   4.00,PAB,   6.75,   4.00
Papua New Guinea,   11.00,PGK,   4.90,   3.33
Paraguay,  2 000.00,PYG,   0.80,   0.35
Peru,   12.00,PEN,   7.36,   3.67
Philippines,   57.75,PHP,   3.14,   1.08
Poland,   12.90,PLN,   7.35,   3.54
Portugal,   4.00,EUR,   6.56,   4.69
Qatar,   3.50,QAR,   1.82,   0.96
Republic of Korea,  4 285.71,KRW,   5.03,   3.83
Republic of Moldova,   14.00,MDL,   1.84,   0.84
Romania,   15.30,RON,   8.38,   3.87
Russian Federation,   69.00,RUB,   2.93,   1.10
Rwanda,   300.00,RWF,   0.97,   0.35
Saint Kitts and Nevis,   6.50,XCD,   3.90,   2.41
Saint Lucia,   10.00,XCD,   5.61,   3.70
Saint Vincent and the Grenadines,   8.50,XCD,   5.02,   3.15
Samoa,   8.00,WST,   4.22,   3.10
San Marino,. . .,. .,. . .,. . .
Sao Tome and Principe,   18.00,STN,   1.43,   0.85
Saudi Arabia,   6.00,SAR,   3.86,   1.60
Senegal,   700.00,XOF,   3.13,   1.25
Serbia,   210.00,RSD,   4.97,   2.08
Seychelles,   117.00,SCR,   15.56,   8.40
Sierra Leone,  2 000.00,SLL,   0.81,   0.25
Singapore,   10.50,SGD,   12.56,   7.71
Slovakia,   2.80,EUR,   5.93,   3.29
Slovenia,   3.10,EUR,   5.09,   3.64
Solomon Islands,   20.00,SBD,   2.51,   2.50
Somalia,  12 000.00,SOS,   1.44,   0.49
South Africa,   15.00,ZAR,   2.42,   1.15
South Sudan,. . .,. .,. . .,. . .
Spain,   4.00,EUR,   6.16,   4.69
Sri Lanka,. . .,. .,. . .,. . .
Sudan,   18.00,SDG,   2.69,   1.00
Suriname,   24.00,SRD,   7.59,   3.22
Sweden,   54.00,SEK,   6.11,   6.18
Switzerland,   5.50,CHF,   4.37,   5.57
Syrian Arab Republic,   130.00,SYP,. . .,   0.30
Tajikistan,   5.00,TJS,   2.27,   0.53
Thailand,   55.00,THB,   4.45,   1.65
Timor-Leste,. . .,. .,. . .,. . .
Togo,   500.00,XOF,   2.35,   0.89
Tonga,   15.00,TOP,   8.92,   6.62
Trinidad and Tobago,   15.00,TTD,   4.21,   2.21
Tunisia,   0.40,TND,   0.54,   0.15
Turkey,   7.50,TRY,   4.75,   1.53
Turkmenistan,   25.00,TMT,   18.81,   7.14
Tuvalu,   3.00,AUD,   2.35,   2.23
Uganda,  2 500.00,UGX,   2.26,   0.68
Ukraine,   28.10,UAH,   3.22,   1.05
United Arab Emirates,   8.00,AED,   3.69,   2.18
United Kingdom of Great Britain and Northern Ireland,   7.63,GBP,   11.03,   10.04
United Republic of Tanzania,. . .,. .,. . .,. . .
United States of America,—,—,—,—
Uruguay,   130.00,UYU,   5.73,   4.25
Uzbekistan,  3 500.00,UZS,   2.48,   0.45
Vanuatu,   610.00,VUV,   4.90,   5.50
Venezuela (Bolivarian Republic of),   286.00,VES,   2.68,   4.48
Viet Nam,  5 000.00,VND,   0.64,   0.22
West Bank and Gaza Strip,   8.00,ILS,. . .,   2.18
Yemen,   200.00,YER,   1.00,   0.93
Zambia,   4.00,ZMW,   1.04,   0.40
Zimbabwe,   0.90,USD,   1.69,   0.90
