index,Country,Population,GDP ($ per capita)
191,Sri Lanka,20222240,3700.0
192,Sudan,41236378,1900.0
193,Suriname,439117,4000.0
194,Swaziland,1136334,4900.0
195,Sweden,9016596,26800.0
196,Switzerland,7523934,32700.0
197,Syria,18881361,3300.0
198,Taiwan,23036087,23400.0
199,Tajikistan,7320815,1000.0
200,Tanzania,37445392,600.0
201,Thailand,64631595,7400.0
202,Togo,5548702,1500.0
203,Tonga,114689,2200.0
204,Trinidad & Tobago,1065842,9500.0
205,Tunisia,10175014,6900.0
206,Turkey,70413958,6700.0
207,Turkmenistan,5042920,5800.0
208,Turks & Caicos Is,21152,9600.0
209,Tuvalu,11810,1100.0
210,Uganda,28195754,1400.0
211,Ukraine,46710816,5400.0
212,United Arab Emirates,2602713,23200.0
213,United Kingdom,60609153,27700.0
214,United States,298444215,37800.0
215,Uruguay,3431932,12800.0
216,Uzbekistan,27307134,1700.0
217,Vanuatu,208869,2900.0
218,Venezuela,25730435,4800.0
219,Vietnam,84402966,2500.0
220,Virgin Islands,108605,17200.0
221,Wallis and Futuna,16025,3700.0
222,West Bank,2460492,800.0
223,Yemen,21456188,800.0
224,Zambia,11502010,800.0
225,Zimbabwe,12236805,1900.0
